Image Quality Evaluation Summary
============================================================
Input directory: /home/asaken/codes/ECE253_Low_Light_Enhancement/dataset/single_highlight
Label directory: /home/asaken/codes/ECE253_Low_Light_Enhancement/dataset/original

Total images: 264
Mean SNR: 8.9409 dB
Std SNR: 4.7751 dB
Min SNR: 1.5072 dB
Max SNR: 22.9296 dB
------------------------------------------------------------
Mean PSNR: -33.3684 dB
Std PSNR: 3.3834 dB
Min PSNR: -38.4458 dB
Max PSNR: -21.5293 dB
------------------------------------------------------------
Mean SSIM: 0.0549
Std SSIM: 0.0498
Min SSIM: -0.0001
Max SSIM: 0.2537
------------------------------------------------------------
Individual Results:
58_p1: SNR=7.9100 dB, PSNR=-34.2628 dB, SSIM=0.0911
58_p2: SNR=7.5248 dB, PSNR=-34.8511 dB, SSIM=0.1504
58_p3: SNR=10.1385 dB, PSNR=-33.4529 dB, SSIM=0.1179
58_p4: SNR=9.0018 dB, PSNR=-34.1916 dB, SSIM=0.0841
59_p1: SNR=8.5686 dB, PSNR=-34.7987 dB, SSIM=0.1789
59_p2: SNR=9.0544 dB, PSNR=-35.0841 dB, SSIM=0.1349
59_p3: SNR=8.1858 dB, PSNR=-34.0502 dB, SSIM=0.0637
59_p4: SNR=8.3110 dB, PSNR=-35.2993 dB, SSIM=0.0722
60_p1: SNR=14.1486 dB, PSNR=-30.6841 dB, SSIM=0.0146
60_p2: SNR=11.8913 dB, PSNR=-30.3306 dB, SSIM=0.0060
60_p3: SNR=8.4328 dB, PSNR=-34.8135 dB, SSIM=0.0728
60_p4: SNR=8.9686 dB, PSNR=-33.2229 dB, SSIM=0.0263
61_p1: SNR=18.6834 dB, PSNR=-25.4852 dB, SSIM=0.0116
61_p2: SNR=12.0904 dB, PSNR=-31.2855 dB, SSIM=0.0060
61_p3: SNR=8.8570 dB, PSNR=-34.6904 dB, SSIM=0.0436
61_p4: SNR=10.7087 dB, PSNR=-30.9024 dB, SSIM=0.0550
62_p1: SNR=19.6613 dB, PSNR=-26.1187 dB, SSIM=0.0363
62_p2: SNR=11.4748 dB, PSNR=-32.9373 dB, SSIM=0.0251
62_p3: SNR=9.6551 dB, PSNR=-33.7614 dB, SSIM=0.0798
62_p4: SNR=8.1309 dB, PSNR=-32.1135 dB, SSIM=0.0313
63_p1: SNR=9.7393 dB, PSNR=-33.0565 dB, SSIM=0.0167
63_p2: SNR=17.4509 dB, PSNR=-27.8570 dB, SSIM=0.0496
63_p3: SNR=6.0721 dB, PSNR=-34.5441 dB, SSIM=0.0518
63_p4: SNR=5.3290 dB, PSNR=-34.1953 dB, SSIM=0.0442
64_p1: SNR=9.7285 dB, PSNR=-33.5826 dB, SSIM=0.0130
64_p2: SNR=10.2157 dB, PSNR=-32.6672 dB, SSIM=0.0420
64_p3: SNR=8.7431 dB, PSNR=-34.9128 dB, SSIM=0.1175
64_p4: SNR=10.0352 dB, PSNR=-32.7152 dB, SSIM=0.1121
65_p1: SNR=6.9239 dB, PSNR=-36.4198 dB, SSIM=0.0540
65_p2: SNR=7.9873 dB, PSNR=-34.5657 dB, SSIM=0.0516
65_p3: SNR=9.7446 dB, PSNR=-34.0053 dB, SSIM=0.2155
65_p4: SNR=7.2009 dB, PSNR=-36.7444 dB, SSIM=0.0979
66_p1: SNR=14.2452 dB, PSNR=-30.6206 dB, SSIM=0.0590
66_p2: SNR=14.1173 dB, PSNR=-30.0197 dB, SSIM=0.0920
66_p3: SNR=9.1088 dB, PSNR=-34.1007 dB, SSIM=0.0315
66_p4: SNR=11.2003 dB, PSNR=-32.7672 dB, SSIM=0.0842
