Image Quality Evaluation Summary
============================================================
Input directory: dataset/RichardsonLucy-result
Label directory: dataset/original

Total images: 264
Mean SNR: 18.4770 dB
Std SNR: 7.3276 dB
Min SNR: 7.5662 dB
Max SNR: 38.4307 dB
------------------------------------------------------------
Mean PSNR: -21.6790 dB
Std PSNR: 5.1496 dB
Min PSNR: -30.2220 dB
Max PSNR: -5.9830 dB
------------------------------------------------------------
Mean SSIM: 0.5248
Std SSIM: 0.1143
Min SSIM: 0.2986
Max SSIM: 0.7329
------------------------------------------------------------
Individual Results:
50_p1: SNR=23.6577 dB, PSNR=-20.5972 dB, SSIM=0.5932
50_p2: SNR=20.8688 dB, PSNR=-18.9643 dB, SSIM=0.5829
50_p3: SNR=16.8203 dB, PSNR=-17.4956 dB, SSIM=0.6084
50_p4: SNR=12.0578 dB, PSNR=-17.5890 dB, SSIM=0.5372
51_p1: SNR=15.6280 dB, PSNR=-23.1581 dB, SSIM=0.4704
51_p2: SNR=21.1565 dB, PSNR=-22.8918 dB, SSIM=0.5604
51_p3: SNR=12.7175 dB, PSNR=-23.2592 dB, SSIM=0.5303
51_p4: SNR=14.2794 dB, PSNR=-23.1589 dB, SSIM=0.5690
52_p1: SNR=12.1669 dB, PSNR=-18.9310 dB, SSIM=0.4077
52_p2: SNR=12.1547 dB, PSNR=-18.3868 dB, SSIM=0.4137
52_p3: SNR=11.5627 dB, PSNR=-26.3560 dB, SSIM=0.5526
52_p4: SNR=11.3051 dB, PSNR=-23.2550 dB, SSIM=0.5634
53_p1: SNR=13.6238 dB, PSNR=-16.8556 dB, SSIM=0.3152
53_p2: SNR=13.1426 dB, PSNR=-18.2724 dB, SSIM=0.3220
53_p3: SNR=14.5560 dB, PSNR=-17.9080 dB, SSIM=0.4046
53_p4: SNR=15.0777 dB, PSNR=-18.8271 dB, SSIM=0.4326
54_p1: SNR=23.5536 dB, PSNR=-20.7945 dB, SSIM=0.3532
54_p2: SNR=25.3598 dB, PSNR=-18.9129 dB, SSIM=0.3479
54_p3: SNR=13.8899 dB, PSNR=-27.9723 dB, SSIM=0.5739
54_p4: SNR=14.1832 dB, PSNR=-27.7595 dB, SSIM=0.5983
55_p1: SNR=23.9071 dB, PSNR=-11.0202 dB, SSIM=0.3383
55_p2: SNR=14.4463 dB, PSNR=-23.9224 dB, SSIM=0.3652
55_p3: SNR=17.3606 dB, PSNR=-19.2072 dB, SSIM=0.3204
55_p4: SNR=14.5402 dB, PSNR=-24.8565 dB, SSIM=0.4082
56_p1: SNR=13.1863 dB, PSNR=-29.7573 dB, SSIM=0.6827
56_p2: SNR=14.2898 dB, PSNR=-28.8777 dB, SSIM=0.6590
56_p3: SNR=15.3167 dB, PSNR=-28.1803 dB, SSIM=0.6387
56_p4: SNR=16.6406 dB, PSNR=-27.5248 dB, SSIM=0.5798
57_p1: SNR=18.4381 dB, PSNR=-24.7275 dB, SSIM=0.5862
57_p2: SNR=11.9208 dB, PSNR=-22.6691 dB, SSIM=0.6410
57_p3: SNR=18.4600 dB, PSNR=-25.3933 dB, SSIM=0.6176
57_p4: SNR=12.5472 dB, PSNR=-28.0106 dB, SSIM=0.6236
58_p1: SNR=12.5861 dB, PSNR=-28.6014 dB, SSIM=0.6244
58_p2: SNR=11.3503 dB, PSNR=-29.1603 dB, SSIM=0.6244
58_p3: SNR=13.3806 dB, PSNR=-29.4308 dB, SSIM=0.5823
58_p4: SNR=13.7818 dB, PSNR=-28.8295 dB, SSIM=0.6051
59_p1: SNR=13.4779 dB, PSNR=-27.8483 dB, SSIM=0.6120
59_p2: SNR=14.9963 dB, PSNR=-26.9780 dB, SSIM=0.5867
59_p3: SNR=14.8362 dB, PSNR=-28.3236 dB, SSIM=0.6453
59_p4: SNR=14.3186 dB, PSNR=-27.6685 dB, SSIM=0.6196
60_p1: SNR=27.0072 dB, PSNR=-17.1710 dB, SSIM=0.3774
60_p2: SNR=25.7400 dB, PSNR=-17.4936 dB, SSIM=0.3476
60_p3: SNR=16.3498 dB, PSNR=-24.5341 dB, SSIM=0.5141
60_p4: SNR=17.0218 dB, PSNR=-24.3299 dB, SSIM=0.5153
61_p1: SNR=27.8306 dB, PSNR=-16.3173 dB, SSIM=0.3632
61_p2: SNR=26.9356 dB, PSNR=-17.4169 dB, SSIM=0.3701
61_p3: SNR=17.5189 dB, PSNR=-24.0608 dB, SSIM=0.6124
61_p4: SNR=18.0822 dB, PSNR=-23.9348 dB, SSIM=0.6071
62_p1: SNR=23.4757 dB, PSNR=-22.0427 dB, SSIM=0.3871
62_p2: SNR=20.1614 dB, PSNR=-23.7211 dB, SSIM=0.4204
62_p3: SNR=16.5387 dB, PSNR=-25.5784 dB, SSIM=0.5799
62_p4: SNR=16.2545 dB, PSNR=-23.3750 dB, SSIM=0.5739
63_p1: SNR=25.1979 dB, PSNR=-19.7397 dB, SSIM=0.3536
63_p2: SNR=25.0718 dB, PSNR=-19.9321 dB, SSIM=0.3773
63_p3: SNR=15.8135 dB, PSNR=-25.5048 dB, SSIM=0.5436
63_p4: SNR=12.2722 dB, PSNR=-23.2769 dB, SSIM=0.5784
64_p1: SNR=23.6718 dB, PSNR=-21.0904 dB, SSIM=0.4296
64_p2: SNR=23.4867 dB, PSNR=-21.1817 dB, SSIM=0.4259
64_p3: SNR=16.3363 dB, PSNR=-24.1215 dB, SSIM=0.6872
64_p4: SNR=16.2402 dB, PSNR=-24.2487 dB, SSIM=0.6946
65_p1: SNR=15.7607 dB, PSNR=-24.6306 dB, SSIM=0.5192
65_p2: SNR=15.2012 dB, PSNR=-24.3597 dB, SSIM=0.5999
65_p3: SNR=14.8175 dB, PSNR=-27.7152 dB, SSIM=0.5597
65_p4: SNR=14.1874 dB, PSNR=-26.4473 dB, SSIM=0.6111
66_p1: SNR=25.4937 dB, PSNR=-19.0868 dB, SSIM=0.4389
66_p2: SNR=23.4822 dB, PSNR=-21.5759 dB, SSIM=0.3784
66_p3: SNR=18.3030 dB, PSNR=-23.7743 dB, SSIM=0.5798
66_p4: SNR=19.6257 dB, PSNR=-23.7208 dB, SSIM=0.5862
